PID,BlockName,ReactionTime,ReactionTimeLog,Feature,ElemNum,SpatialPattern,IsCorrect,TrialNum,TargetRegion,CenterOrPeriph,Target2CenterDis
6,Hue_12_Gridded,459.0,2.661812685537261,Hue,12,Gridded,yes,5,3,Center,0.311429528
6,Hue_12_Gridded,487.0,2.6875289612146345,Hue,12,Gridded,yes,7,4,Center,0.311429528
6,Hue_12_Gridded,498.0,2.6972293427597176,Hue,12,Gridded,yes,9,5,Periphery,0.311429528
6,Hue_12_Gridded,473.0,2.6748611407378116,Hue,12,Gridded,yes,15,8,Periphery,0.413616631
6,Hue_12_Gridded,471.0,2.673020907128896,Hue,12,Gridded,yes,8,4,Center,0.311429528
6,Hue_12_Gridded,539.0,2.7315887651867388,Hue,12,Gridded,yes,11,6,Periphery,0.311429528
6,Hue_12_Gridded,589.0,2.7701152947871015,Hue,12,Gridded,yes,14,7,Periphery,0.499057433
6,Hue_12_Gridded,489.0,2.6893088591236203,Hue,12,Gridded,yes,12,6,Periphery,0.311429528
6,Hue_12_Gridded,672.0,2.8273692730538253,Hue,12,Gridded,yes,4,2,Center,0.311429528
6,Shape_12_Gridded,959.0,2.9818186071706636,Shape,12,Gridded,yes,9,5,Periphery,0.499057433
6,Shape_12_Gridded,541.0,2.7331972651065692,Shape,12,Gridded,yes,6,3,Center,0.13787221
6,Shape_12_Gridded,645.0,2.8095597146352675,Shape,12,Gridded,yes,1,1,Center,0.311429528
6,Shape_12_Gridded,691.0,2.8394780473741985,Shape,12,Gridded,yes,11,6,Periphery,0.311429528
6,Shape_12_Gridded,678.0,2.8312296938670634,Shape,12,Gridded,yes,10,5,Periphery,0.311429528
6,Shape_12_Gridded,767.0,2.884795363948981,Shape,12,Gridded,yes,3,2,Center,0.413616631
6,Shape_12_Gridded,611.0,2.786041210242554,Shape,12,Gridded,yes,8,4,Center,0.13787221
6,Shape_12_Gridded,2221.0,3.346548558548474,Shape,12,Gridded,yes,2,1,Center,0.499057433
6,Shape_12_Gridded,2275.0,3.3569814009931314,Shape,12,Gridded,yes,14,7,Periphery,0.499057433
6,Shape_12_Gridded,1301.0,3.1142772965615864,Shape,12,Gridded,yes,7,4,Center,0.311429528
6,Shape_12_Gridded,1918.0,3.282848602834645,Shape,12,Gridded,yes,16,8,Periphery,0.499057433
6,Shape_12_Gridded,762.0,2.8819549713396007,Shape,12,Gridded,yes,12,6,Periphery,0.311429528
6,Shape_12_Gridded,2239.0,3.3500540935790304,Shape,12,Gridded,yes,5,3,Center,0.499057433
6,Shape_12_Gridded,521.0,2.7168377232995247,Shape,12,Gridded,yes,15,8,Periphery,0.13787221
6,Shape_12_Gridded,1093.0,3.038620161949703,Shape,12,Gridded,yes,4,2,Center,0.413616631
6,Shape_12_Gridded,649.0,2.812244696800369,Shape,12,Gridded,yes,13,7,Periphery,0.311429528
6,Shape_192_Gridded,2721.0,3.4347285417797577,Shape,192,Gridded,yes,16,8,Periphery,0.47886465
6,Shape_192_Gridded,3878.0,3.5886078047426864,Shape,192,Gridded,yes,11,6,Periphery,0.408117757
6,Shape_192_Gridded,9834.0,3.992730203954143,Shape,192,Gridded,yes,14,7,Periphery,0.453039662
6,Shape_192_Gridded,1508.0,3.178401341533755,Shape,192,Gridded,yes,6,3,Center,0.056110018
6,Shape_192_Gridded,1185.0,3.0737183503461227,Shape,192,Gridded,yes,8,4,Center,0.201987831
6,Shape_192_Gridded,1610.0,3.2068258760318495,Shape,192,Gridded,yes,13,7,Periphery,0.280550092
6,Shape_192_Gridded,3314.0,3.520352504083318,Shape,192,Gridded,yes,12,6,Periphery,0.47886465
6,Shape_192_Gridded,2739.0,3.4375920322539613,Shape,192,Gridded,yes,2,1,Center,0.2315337
6,Shape_192_Gridded,837.0,2.92272545799326,Shape,192,Gridded,yes,4,2,Center,0.231161215
6,Shape_192_Gridded,5295.0,3.7238659644435037,Shape,192,Gridded,yes,7,4,Center,0.201987831
6,Shape_192_Gridded,700.0,2.845098040014257,Shape,192,Gridded,yes,1,1,Center,0.125637405
6,Shape_192_Gridded,783.0,2.8937617620579434,Shape,192,Gridded,yes,3,2,Center,0.12529399
6,Shape_192_Gridded,9563.0,3.9805941557762203,Shape,192,Gridded,yes,10,5,Periphery,0.517683479
6,Shape_192_Gridded,636.0,2.803457115648414,Shape,192,Gridded,yes,5,3,Center,0.125637405
6,Shape_192_Gridded,2968.0,3.4724638966069894,Shape,192,Gridded,yes,9,5,Periphery,0.452563883
6,Shape_192_Gridded,2861.0,3.4565178578052627,Shape,192,Gridded,yes,15,8,Periphery,0.516433522
6,Length_192_Random,1925.0,3.2844307338445193,Length,192,Random,yes,1,7,Periphery,0.5448225596251761
6,Length_192_Random,5903.0,3.7710727832211948,Length,192,Random,yes,6,6,Periphery,0.6985904578219351
6,Length_192_Random,4081.0000000000005,3.610766594773271,Length,192,Random,yes,7,5,Periphery,0.4572588204527786
6,Length_192_Random,1198.0,3.0784568180532927,Length,192,Random,yes,9,3,Center,0.00997435588242676
6,Length_192_Random,807.0,2.90687353472207,Length,192,Random,yes,4,8,Periphery,0.302299220326139
6,Length_192_Random,1195.0,3.0773679052841563,Length,192,Random,yes,12,2,Center,0.10201519317352092
6,Length_192_Random,2524.0,3.402089350572097,Length,192,Random,yes,8,5,Periphery,0.41665829464383175
6,Length_192_Random,1315.0,3.1189257528257768,Length,192,Random,yes,11,4,Center,0.20761138312732838
6,Length_192_Random,673.0,2.828015064223977,Length,192,Random,yes,3,1,Center,0.2666393975894183
6,Length_192_Random,588.0,2.7693773260761385,Length,192,Random,yes,14,1,Center,0.13415930160458758
6,Length_192_Random,4840.0,3.6848453616444123,Length,192,Random,yes,5,6,Periphery,0.726340810911742
6,Length_192_Random,902.0,2.9552065375419416,Length,192,Random,yes,2,7,Periphery,0.38926349119618986
6,Length_192_Random,2051.0,3.3119656603683665,Length,192,Random,yes,16,8,Periphery,0.5280640390860657
6,Length_192_Random,609.0,2.784617292632875,Length,192,Random,yes,10,2,Center,0.20876920902548038
6,Length_192_Random,821.0,2.9143431571194407,Length,192,Random,yes,13,3,Center,0.19531077828264756
6,Length_192_Random,667.0,2.824125833916549,Length,192,Random,yes,15,4,Center,0.10872112622361935
6,Hue_12_Random,472.0,2.673941998634088,Hue,12,Random,yes,12,1,Center,0.25523562610501255
6,Hue_12_Random,518.0,2.714329759745233,Hue,12,Random,yes,11,7,Periphery,0.4278885934915162
6,Hue_12_Random,433.0,2.6364878963533656,Hue,12,Random,yes,7,2,Center,0.1547115515202082
