Mean	Median	Mode	ESS	HDImass	HDIlow	HDIhigh	CompVal	PcntGtCompVal	ROPElow	ROPEhigh	PcntLtROPE	PcntInROPE	PcntGtROPE
m[2,2,3,3]	3.5669700706	3.56708	3.57083334958219	30215.4	0.95	3.47115	3.66512	NA	NA	NA	NA	NA	NA	NA
m[1,1,1,4]	2.7474087144	2.747035	2.74395579604821	30626	0.95	2.65964	2.83342	NA	NA	NA	NA	NA	NA	NA
m[2,1,1,4]	2.7039520954	2.703595	2.69843430577698	30706.4	0.95	2.61962	2.78974	NA	NA	NA	NA	NA	NA	NA
m[1,2,1,4]	2.7366295746	2.73658	2.73681700151357	23638.5	0.95	2.62753	2.84185	NA	NA	NA	NA	NA	NA	NA
m[2,2,1,4]	2.73333275	2.73276	2.73009472424582	29785.8	0.95	2.64374	2.82253	NA	NA	NA	NA	NA	NA	NA
m[1,1,2,4]	3.120709911	3.12003	3.11832310779305	30337.4	0.95	3.03116	3.21154	NA	NA	NA	NA	NA	NA	NA
m[2,1,2,4]	3.4443296512	3.44425	3.43859589206894	18035.1	0.95	3.28467	3.60669	NA	NA	NA	NA	NA	NA	NA
m[1,2,2,4]	3.2647765608	3.26482	3.26457537531724	31554.3	0.95	3.17444	3.36128	NA	NA	NA	NA	NA	NA	NA
m[2,2,2,4]	3.8962481398	3.89787	3.89815274868772	17832.8	0.95	3.77408	4.01566	NA	NA	NA	NA	NA	NA	NA
m[1,1,3,4]	3.2382108086	3.237765	3.2399754059889	22151.7	0.95	3.08169	3.3852	NA	NA	NA	NA	NA	NA	NA
m[2,1,3,4]	3.4226935998	3.42251	3.42384727131841	20733.2	0.95	3.27107	3.57051	NA	NA	NA	NA	NA	NA	NA
m[1,2,3,4]	3.673579212	3.67357	3.66805600848431	23758.4	0.95	3.53833	3.80689	NA	NA	NA	NA	NA	NA	NA
m[2,2,3,4]	3.7620176178	3.76208	3.75683878991173	27549.4	0.95	3.64703	3.88001	NA	NA	NA	NA	NA	NA	NA
a1SD	0.36214227256732	0.240558	0.0887624978069658	673.6	0.95	0.00101596	1.09763	NA	NA	NA	NA	NA	NA	NA
a2SD	0.459335015064	0.324201	0.142541474188348	745.8	0.95	0.0285602	1.29501	NA	NA	NA	NA	NA	NA	NA
a3SD	0.539270288458	0.445618	0.289217135337797	1187.8	0.95	0.127687	1.2012	NA	NA	NA	NA	NA	NA	NA
